Pair,Momentum_Score,Rank,RSI_15,Volume_Ratio_15,Price_Change_15,RSI_30,Volume_Ratio_30,Price_Change_30,RSI_60,Volume_Ratio_60,Price_Change_60,RSI_240,Volume_Ratio_240,Price_Change_240,RSI_1D,Volume_Ratio_1D,Price_Change_1D
B3/USDT,0.7540000000000001,1,61.130644039851695,2.2427992814742623,9.459891339085978,63.699631058346895,3.952934545459648,5.613818630475011,65.25003215738599,6.7381881366029415,20.119172800560808,79.56866581561081,7.538526349498393,24.708879184861715,67.69249387483893,1.7587331968389175,24.22044960116025
RPL/USDT,0.7298141520930828,2,55.20419435208686,1.5039768438538752,3.183831672203759,57.479990306525835,2.315473707273164,5.059188275084554,57.41166797051602,2.526141695294414,10.477178423236513,58.33918810674708,1.0087834908189335,8.322440087145976,58.83950743484215,0.4955338252247408,29.486289482818478
OMNI/USDT,0.7263112147121302,3,61.005868759168585,1.463215416758009,11.716562567305633,65.04272836885235,2.2904745902127974,-1.2781381152232005,67.87200174871032,2.8926742848884452,105.27568425228084,77.48175986433117,10.304599150086153,111.65167620605065,79.68948002583826,7.464587116593919,119.37128292268477
TON/USDT,0.715659226172278,4,60.0368099877032,1.7200359200005637,3.262773049863278,63.17272561519739,3.0232112343800788,3.821793802329531,62.26439596748027,2.2993857969832727,4.699576165544746,56.99992164921673,0.8451621306641263,1.0648858406281052,61.14516384331617,0.9388999196531137,14.275519913008008
NIL/USDT,0.6881651965279701,5,59.34852875515294,2.0918076013112565,4.025764895330116,58.70725473020621,1.9674792534347998,1.5728216420257957,54.55062902439068,2.0744850454244834,6.35704874835311,45.466049051824974,1.221318983363534,-7.052389176741499,48.60502959593625,0.9026737194719711,0.43545878693624024
ATH/USDT,0.6851933422727144,6,56.17668237027711,0.7206078005448597,3.9564220183486216,58.10800720145019,1.5955920407018434,0.5546311702717659,59.10248087090497,2.376283182402133,6.804123711340204,60.17097591589964,1.9109835116480727,5.466705437627216,64.79759521972332,0.6368165707297905,24.340075419951987
CYBER/USDT,0.6847430092609093,7,48.61360338154148,1.505533903537132,-0.7278835386338255,51.513714533511134,2.383169298075223,0.9101251422070543,53.721015246194746,2.7186079308759896,9.635577516985789,61.142566785560874,3.102085401861856,9.40959409594096,59.40548239648116,1.2781714266552469,21.336059986366728
XCN/USDT,0.6823514847898523,8,52.85034242912216,1.5882732020825727,3.008962868117797,53.74384306014271,4.752274401982461,3.207184092366905,53.59583452877822,3.022132134159794,4.142394822006472,49.15467225147061,0.8640213531849885,-3.417266187050366,47.846129551123504,0.6526344013292499,11.325966850828722
ZK/USDT,0.6793144733919764,9,56.49674763050775,2.11161823713424,3.4047919293820983,53.58926615118598,1.4407558479474816,1.3597033374536462,50.74611710354899,1.581200816086786,3.0335666846167597,48.441275691717806,0.7775596990673489,-0.45099739809193984,52.763334458682,0.8974063944687857,1.0741327698538465
ALCH/USDT,0.6749174446708764,10,78.28941468146263,1.3471854901235674,13.920246298196728,85.19172985264595,2.540709574897141,14.37099270395754,81.3287801348522,9.51324146776142,15.15084130160847,75.39152227704832,3.003721465758181,10.400227482761077,64.99701504357708,0.21609784591490086,4.374412041392278
CTSI/USDT,0.6574299174499214,11,73.19591792850937,5.026566243595572,3.880509591448235,64.02083475406225,4.189166820933399,2.737146994931213,55.24230997739619,2.294864090679635,2.2202998846597457,45.277178495584245,0.46365153715514873,-5.175872676207033,50.79062984198149,0.8448903337161567,6.636636636636626
NEIROETH/USDT,0.6563587230468034,12,61.047314158373986,0.6728199895793437,4.69247928616954,63.703601842260454,1.1143078402226652,2.0274994173852257,62.66043678169814,2.6705481109152567,10.633103216029637,59.733661710834724,0.8956607365999635,6.334951456310671,57.65277881869724,0.12614873953763225,13.63872082973208
IP/USDT,0.6508858120958049,13,62.6913664502098,0.645729701366315,6.385441323385137,63.22365250289809,0.7016689777472537,4.016967648818959,62.18155639913393,1.775080538050607,6.57441381375532,60.34211877559345,0.9053959466802741,7.397626517528306,77.99020303784364,0.8440213711867532,68.74392794687454
SOLV/USDT,0.6462919837457646,14,72.74727798719351,0.9264860870599771,5.53150553150554,70.88397501533447,0.8335625719332082,5.105465004793864,70.64212775274792,4.064474910606427,5.9391598261709415,64.87348478650757,1.157896305543876,6.298449612403114,54.55119293108177,0.29749392527319196,2.4515526500116795
DEXE/USDT,0.6450576530140437,15,54.07040170977251,1.4913867363668,1.164064639824705,56.86225205879371,1.3417161974048044,1.651300399064252,54.632082190116066,1.8743940248607613,0.9290886733160215,50.44298801813806,0.4581384202543792,-1.6116142781033622,42.927066704923604,0.23843298935613866,-5.717202654415523
REZ/USDT,0.6386914070931975,16,52.42810977742403,1.123549140108412,1.9736842105263244,51.17339441887253,1.0666536900180617,-0.4992867332382232,51.11194301055825,0.8809752225251359,7.307692307692318,52.62981906430917,0.5710247286028537,5.681818181818187,58.00651085122137,1.3891393217510188,18.220338983050855
OGN/USDT,0.6212914772731911,17,48.82552445087516,2.138264538541991,0.8000000000000007,48.63428186125599,4.02128859156199,-0.4739336492890912,49.04431908214643,3.665872327618018,3.6184210526315796,49.5587337858104,1.819060472398007,1.1217948717948816,55.62398637280615,0.6287312206310445,10.507880910683022
ORCA/USDT,0.6212505360163015,18,46.88764814567928,2.7357535932314,1.014610389610386,47.63618593795086,6.713742715838337,1.0560519902518197,47.9490019383648,6.649163728646675,3.3222591362126277,47.97229810095743,1.6704492089618885,-2.8103044496486973,53.873060523486224,0.9684052932569199,11.80960933991919
VET/USDT,0.616205309999023,19,50.1628828565256,1.6103585593552148,0.5491621239652764,48.072509729453365,1.5235111155610876,-0.12432324042510438,46.106587106730764,1.7381559943532259,1.6117186224906277,42.28840317267264,0.9922039653670263,-4.98970016021973,49.868387134531275,1.1643454334790542,3.5628169950943716
ALT/USDT,0.5988028408180224,20,53.81344267532252,0.669293669170987,1.1048234977095142,51.895910910373786,0.4000992125071348,0.48205677557578896,50.246011791464696,0.6144561997159994,5.811001410437234,52.63828089571105,1.9159585865321027,8.727167294868075,56.6590751730267,1.9263767447398026,18.27347195967234
ZEREBRO/USDT,0.5849354775536213,21,48.370326809211996,1.159819698642646,1.1252268602540754,51.16199618160764,0.9163407956970818,3.338278931750734,50.80295676769905,1.2442686837999677,4.8945783132530085,43.911860487053254,1.0735141315112877,-5.814739688979038,42.87251411397602,0.20103167369792294,-14.487415592387965
W/USDT,0.5814261225819116,22,47.48552853155736,2.108862827827034,-0.08482792050412097,43.58490055463107,1.7177330553868784,-2.9557230334432387,42.24000007741244,1.9660937463990187,1.4401772525849217,41.87523468882202,1.0447900740656042,-3.399367014418005,50.51880043909809,0.8896467255619179,12.214363438520133
AR/USDT,0.5778799470854624,23,44.78698797215686,1.6657034373075918,-1.4152797798453747,42.81928486665695,1.4989917030638586,-2.9047250193648404,44.928668338526826,2.0541105404160196,2.660663119115845,46.23380371347228,1.0299788203422746,-3.587903639159409,56.212625980744036,0.9403464536174685,21.89473684210527
